Alumno/a;Nombre elegido (Alias);N_ id. Alumno;DNI/Pasaporte;N_ del expediente del centro;Curso;Unidad;Estado Matr_cula;A_o de la matr_cula;Fecha de matr_cula;N_ de matr_culas en este curso;Observaciones de la matr_cula;Sexo;Direcci_n;C_digo postal;Localidad de residencia;Provincia de residencia;Localidad de nacimiento;Provincia nacimiento;Pa_s de nacimiento;Fecha de nacimiento;Edad a 31/12 del a_o de matr_cula;Nacionalidad;Tel_fono;Tel_fono de urgencia;Correo Electr_nico;Primer apellido;Segundo apellido;Nombre;DNI/Pasaporte Primer tutor;Primer apellido Primer tutor;Segundo apellido Primer tutor;Nombre Primer tutor;Sexo Primer tutor;Tel_fono Primer tutor;Correo Primer tutor;DNI/Pasaporte Segundo tutor;Primer apellido Segundo tutor;Segundo apellido Segundo tutor;Nombre Segundo tutor;Sexo Segundo tutor;Tel_fono Segundo tutor;Correo Segundo tutor;NP;NSS
Aristides Valverde Llobet;Aristides;56347467;27478217W;834907;Tercero;D;Denegado;2024;14/6/24;3;Earum commodi ad.;U;Paseo Nerea Rosales 45 Piso 6 , Badajoz, 23914;32172;Granada;Valladolid;La Rioja;Soria;Timor-Leste;12/12/83;78;Qatar;+34842 206 970;34925729657;kmiranda@example.net;Valverde;Llobet;Aristides;146-37-2196;Chamorro;Benito;Cruz;Hombre;+34 933 98 18 90;xalcala@example.com;071-42-8461;Manzano;Cal;Plácido;Hombre;+34 924783039;vcabrera@example.com;32;123456789
Leonor Arcos Porta;Leonor;26393444;29386102Z;783504;Tercero;B;Solicitado;2024;10/8/24;3;Sint esse a nisi at excepturi.;M;Via Carlos Velázquez 45, Badajoz, 07005;40560;Las Palmas;Almería;Girona;Burgos;Dinamarca;16/5/17;39;El Salvador;34843435722;+34 803 627 905;reyna28@example.net;Arcos;Porta;Leonor;298-68-3984;Dalmau;Fuster;Aitana;Mujer;+34 933323647;xgrande@example.org;306-70-7116;Malo;Lorenzo;Lara;Mujer;+34 888154310;hilario60@example.com;50;123456789
Vidal Hoz Bertrán;Vidal;23084405;65319538K;658166;Quinto;B;En trámite;2024;18/7/24;2;Alias sequi voluptas ea temporibus nulla.;M;Alameda Marita Elorza 763, Palencia, 17302;51378;León;León;La Rioja;Santa Cruz de Tenerife;Guyana;23/2/76;58;Colombia;+34 943548877;+34888 623 843;jose74@example.net;Hoz;Bertrán;Vidal;764-63-0331;Portillo;Criado;Rubén;Mujer;+34 879 12 69 92;valeriolozano@example.org;502-45-2180;Rius;Gonzalo;Verónica;Mujer;+34 985 943 865;flora56@example.net;62;123456789
María Fernanda Azcona Moreno;María Fernanda;74956533;20038097Z;653324;Tercero;E;Matriculado;2024;4/7/24;3;Fugiat dignissimos exercitationem iusto minus.;U;Callejón de Rosalinda Villa 11 Apt. 87 , Almería, 43815;43451;Cuenca;Burgos;Lugo;Burgos;Zimbabwe;31/12/80;94;Israel;+34 843 465 741;+34 717 748 420;cecilio20@example.net;Azcona;Moreno;María Fernanda;534-97-5658;Moya;Cal;Primitivo;Hombre;+34 720 93 11 69;bastidaleon@example.com;183-71-5127;Martí;Castro;Blanca;Hombre;+34 842271244;ctome@example.org;1;123456789
Silvia Pombo Blanch;Silvia;22051492;57926886Y;825261;Cuarto;D;Denegado;2024;18/4/24;1;Dolorum sint excepturi tempora.;U;Calle de Sosimo Rivera 96 Puerta 5 , Badajoz, 48368;15832;Las Palmas;Madrid;Huelva;Baleares;Bahrein;16/9/24;62;Camerún;+34874 227 926;+34 872150881;maristeladominguez@example.org;Pombo;Blanch;Silvia;888-16-1657;Cáceres;Serrano;Paulino;Hombre;34887551378;npineiro@example.com;468-56-5987;Salas;Mir;Odalis;Mujer;+34 943 90 94 53;benignopaniagua@example.net;10;123456789
Donato Flor Galan;Donato;38654039;60450700F;426786;Segundo;D;No matriculado;2024;9/6/24;2;Reprehenderit laboriosam veniam saepe.;M;Rambla Rita Peñalver 14 Puerta 5 , Granada, 38775;39790;Jaén;Cáceres;Vizcaya;Valladolid;Camerún;12/10/23;77;Líbano;+34946 12 43 25;+34 822 462 603;arteagaregulo@example.org;Flor;Galan;Donato;896-89-9238;Avilés;Palomares;Rodrigo;Mujer;+34 888 48 18 45;porcelsantiago@example.com;097-57-7606;Elías;Calvo;Hermenegildo;Hombre;+34971 23 82 82;anastasia05@example.com;1;123456789
Yolanda Cabanillas Calvo;Yolanda;71202577;26085105T;12206;Primero;E;En trámite;2024;5/6/24;2;Ipsum facilis fugiat nemo enim delectus.;U;C. de María Ángeles Valera 41 Apt. 36 , Badajoz, 38323;22363;Pontevedra;Burgos;Salamanca;Asturias;Tuvalu;17/1/07;5;México;+34 712 686 050;34887068322;maxi86@example.org;Cabanillas;Calvo;Yolanda;907-52-7400;Español;Perea;Humberto;Hombre;+34 945 111 226;estefaniaiborra@example.com;550-81-0711;Salcedo;Figueras;Javi;Hombre;+34974 39 79 89;rico79@example.net;40;123456789
Aarón Paniagua Abellán;Aarón;48113604;52126937J;735257;Tercero;C;No matriculado;2024;15/9/24;1;Laboriosam aspernatur quos quo natus fugiat.;M;Pasaje de Victoriano Saavedra 99, Vizcaya, 25794;44912;Madrid;Ciudad;Las Palmas;Zaragoza;Mónaco;6/11/08;89;Sudán del Sur;34920504321;+34 933095315;rosario93@example.org;Paniagua;Abellán;Aarón;383-10-1032;Santamaría;Codina;Fernanda;Hombre;+34 826 12 11 09;duranjoel@example.net;147-41-5510;Boix;Herranz;Ximena;Mujer;34747886384;dafnesalas@example.org;12;123456789
Daniel Borrell Casal;Daniel;8469027;73731438Q;695626;Segundo;E;No matriculado;2024;29/2/24;2;Nihil fuga repellendus.;F;Acceso de Marco Mena 24, Lleida, 12857;12747;Soria;Ourense;Cantabria;Cantabria;Grecia;13/4/00;16;Kenya;+34902 114 851;+34 943454892;andres-felipe13@example.net;Borrell;Casal;Daniel;824-87-6934;Nuñez;Frutos;Nidia;Hombre;+34807 027 050;mvall@example.net;656-28-4705;Flores;Pintor;Ciríaco;Mujer;+34984 16 89 71;atormo@example.net;42;123456789
Cipriano Orozco Hervia;Cipriano;62966943;62460287S;649407;Tercero;B;No matriculado;2024;26/9/24;2;Blanditiis ad excepturi autem.;U;Rambla Julio César Morante 282, Lleida, 21426;36247;Pontevedra;Vizcaya;Ciudad;Guipúzcoa;Islandia;19/7/20;46;Italia;+34924 16 59 95;+34 847 87 18 30;lopezmaria-pilar@example.net;Orozco;Hervia;Cipriano;633-07-3650;Arco;Zabala;Severiano;Mujer;+34706 853 303;montserratyaiza@example.com;585-50-7308;Menendez;Vall;Edelmiro;Hombre;+34 849735677;jessica42@example.com;67;123456789
